Formulation Index,t0.0000,t0.0204,t0.0408,t0.0612,t0.0816,t0.1020,t0.1224,t0.1429,t0.1633,t0.1837,t0.2041,t0.2245,t0.2449,t0.2653,t0.2857,t0.3061,t0.3265,t0.3469,t0.3673,t0.3878,t0.4082,t0.4286,t0.4490,t0.4694,t0.4898,t0.5102,t0.5306,t0.5510,t0.5714,t0.5918,t0.6122,t0.6327,t0.6531,t0.6735,t0.6939,t0.7143,t0.7347,t0.7551,t0.7755,t0.7959,t0.8163,t0.8367,t0.8571,t0.8776,t0.8980,t0.9184,t0.9388,t0.9592,t0.9796,t1.0000
11,0.0,0.030913596360464767,0.061827192720929534,0.09411061372324286,0.12802393202252377,0.16193725032180464,0.21575245718705457,0.2697005338094245,0.3067394537814928,0.32902248995077576,0.3513055261200587,0.3735885622893416,0.39587159845862463,0.45162468904923353,0.522954356164138,0.5942840232790423,0.6656136903939467,0.7369433575088512,0.7749367222566405,0.8103785387201814,0.8458203551837222,0.8812621716472632,0.916703988110804,0.952145804574345,0.9875876210378858,0.9929016921591441,0.9932196140427845,0.9935375359264248,0.9938554578100651,0.9941733796937053,0.9944913015773457,0.994809223460986,0.995085995085995,0.995085995085995,0.995085995085995,0.995085995085995,0.995085995085995,0.9953567515178735,0.9963624073595185,0.9973680632011636,0.9983737190428087,0.9993793748844537,1.0003850307260989,1.001390686567744,1.002396342409389,1.0029244008047247,1.0034218018320435,1.0039192028593622,1.004416603886681,1.004914004914
12,0.0,0.060974833547991436,0.12194966709598287,0.17083320859396867,0.2094987040854478,0.24816895105855286,0.31326334882768464,0.3783577465968164,0.41965559096998656,0.4465060572385061,0.4733565235070257,0.5002069897755452,0.5270574560440648,0.5814282621517325,0.6439099412136928,0.7063916202756529,0.7688732993376133,0.8313549783995736,0.8579405365998576,0.8785325297689046,0.8991245229379516,0.9197165161069988,0.9403085092760458,0.9609005024450928,0.98149249561414,0.992786330391584,0.9931289774700338,0.9934716245484836,0.9938142716269334,0.9941569187053831,0.9944995657838329,0.9948422128622827,0.9952272322452843,0.9957167337989712,0.9962062353526581,0.9966957369063449,0.9971852384600318,0.9979038818324524,0.9992447813876366,1.000585680942821,1.0019265804980053,1.0032674800531898,1.004608379608374,1.0059492791635583,1.0072901787187427,1.0078384216162914,1.008335818669221,1.0088332157221507,1.0093306127750803,1.00982800982801
13,0.0,0.2556616504326574,0.5113233008653147,0.6438114231970252,0.6537670196181904,0.6639220405248039,0.6798585794130357,0.6957951183012675,0.711018498858531,0.7256962789955073,0.7403740591324834,0.7550518392694597,0.769729619406436,0.7883782068118318,0.8086324052354622,0.8288866036590926,0.849140802082723,0.8693950005063534,0.8776551326811115,0.8839585104500665,0.8902618882190214,0.8965652659879764,0.9028686437569313,0.9091720215258863,0.9154753992948412,0.9210722292320215,0.9258183137123251,0.9305643981926289,0.9353104826729326,0.9400565671532363,0.94480265163354,0.9495487361138437,0.9540345095107844,0.9575171726438221,0.9609998357768598,0.9644824989098975,0.9679651620429351,0.9713233550398915,0.9743408302281771,0.9773583054164627,0.9803757806047483,0.9833932557930338,0.9864107309813195,0.989428206169605,0.9924456813578906,0.9940306668424569,0.9955230001318427,0.9970153334212284,0.9985076667106142,1.0
14,0.0,0.013822848727119712,0.025667999158426172,0.03334735956238144,0.04128694342631233,0.04904729536541029,0.050622548781606255,0.05219780219780222,0.053773055613998186,0.06636968824008567,0.08212222240204527,0.09787475656400486,0.14178613144511132,0.2132836248612474,0.2847811182773837,0.3562786116935198,0.42777610510965614,0.4861960510221896,0.5372182421806732,0.5882404333391569,0.6392626244976405,0.6902848156561242,0.730112283654645,0.7648714939041282,0.7996307041536114,0.8310674435771178,0.8591817121746486,0.8872959807721795,0.9154102493697105,0.9435245179672415,0.9582590496860703,0.962031367077487,0.9658036844689037,0.9695760018603204,0.9733483192517371,0.9751331143083716,0.9763145543705185,0.9774959944326653,0.9786774344948123,0.9798588745569592,0.981040314619106,0.9821905522649379,0.983231821472254,0.98427309067957,0.9853143598868861,0.986355629094202,0.9886144783051988,0.9941278652618825,0.9996412522185663,1.00515463917525
15,0.0,0.016062536944085475,0.029951843280267395,0.036766252892909745,0.04798354501865862,0.06016443056207419,0.06724093285212586,0.07431743514217752,0.08139393743222918,0.10230380812118664,0.12570592534355005,0.14910804256591342,0.18928045444982058,0.23834420366084508,0.28740795287186965,0.3364717020828942,0.38553545129391875,0.4296058629637416,0.4704923206395957,0.5113787783154499,0.5522652359913041,0.5931516936671583,0.6300573322112364,0.6660885230380836,0.702119713864931,0.737146049319127,0.7709831177405227,0.8048201861619186,0.8386572545833146,0.8724943230047105,0.8932663402596754,0.9047006885927533,0.9161350369258312,0.9275693852589091,0.939003733591987,0.9459990181639663,0.9503235473412202,0.9546480765184739,0.9589726056957278,0.9632971348729816,0.9676216640502355,0.9719034076481642,0.9756043370067543,0.9793052663653445,0.9830061957239347,0.9867071250825249,0.9904727761967503,0.994507623993707,0.9985424717906635,1.00257731958762
16,0.0,0.043651101243535835,0.07332737218598769,0.08254260467073414,0.10634135834009549,0.13559606464087762,0.16314073106182173,0.19062475777071483,0.21810878447960794,0.2542294475284159,0.29282315622521715,0.33141686492201844,0.3703123979773198,0.4095036165906092,0.4486948352038987,0.4878860538171881,0.5270772724304776,0.563954067790978,0.5995216317671926,0.6350891957434073,0.6706567597196219,0.7062243236958365,0.7330370292446872,0.7583789185777408,0.7837208079107942,0.8091473003669416,0.8346583959461826,0.8601694915254238,0.8856805871046648,0.9111916826839059,0.9262349541010105,0.9327017839148677,0.9391686137287248,0.945635443542582,0.9521022733564392,0.9569313847664358,0.9612633316609747,0.9655952785555135,0.9699272254500523,0.9742591723445911,0.97859111923913,0.9824223416432788,0.9845048800579108,0.9865874184725429,0.988669956887175,0.9907524953018071,0.9933402385537868,0.9972783720942746,1.0012165056347622,1.00515463917525
17,0.0,0.2296494444611429,0.40887195898435263,0.42665574097246,0.448603098320174,0.4721579353390836,0.4823970825443574,0.49263622974963117,0.5028753769549049,0.5284058821575284,0.5583149700466177,0.5882240579357071,0.6140091717274003,0.6369170942883519,0.6598250168493035,0.682732939410255,0.7056408619712067,0.7225632695853098,0.7360997692804178,0.7496362689755258,0.7631727686706338,0.7767092683657418,0.7915001051967177,0.8068588260046287,0.8222175468125398,0.8359874344334252,0.8481684888672852,0.8603495433011454,0.8725305977350056,0.8847116521688658,0.8934633612312648,0.9002316110788189,0.906999860926373,0.9137681107739271,0.9205363606214811,0.9280616290925573,0.9359378961735372,0.9438141632545171,0.9516904303354968,0.9595666974164767,0.9674429644974565,0.9745940857679721,0.9772421410796808,0.9798901963913894,0.9825382517030982,0.9851863070148068,0.9881855993785296,0.9921237329190193,0.9960618664595092,0.999999999999999
18,0.0,0.00961091123379443,0.01922182246758886,0.027970762773194355,0.034812451985704165,0.03707121146330856,0.03932997094091296,0.04336734693877536,0.04760870913715023,0.0515489630502657,0.05507438537725126,0.05859980770423683,0.06212523003122241,0.06674750855194214,0.07182704425828483,0.0769065799646275,0.0818437303999615,0.08513050610315047,0.08841728180633945,0.09277837805087398,0.09761913176948168,0.10245988548808939,0.10730063920669708,0.10714285714285667,0.10635517829342384,0.10556749944399102,0.1068319977894447,0.1138850511190938,0.12093810444874291,0.127991157778392,0.13504421110804107,0.15178442197547895,0.18323149928664692,0.2146785765978149,0.24612565390898286,0.2859215252832309,0.32960466585086895,0.373287806418507,0.41697094698614506,0.4606540875537829,0.5226660877116798,0.588764654798089,0.6548632218844984,0.7209617889709077,0.7870603560573167,0.8208160163761553,0.8529790335587122,0.8851420507412692,0.917305067923826,0.949468085106383
19,0.0,0.07428869179075838,0.10576245128226103,0.12944460739067173,0.1598017677666104,0.1689214435351533,0.17804111930369615,0.18689144124299967,0.1956851646292445,0.20277498445065345,0.20717016152243745,0.21156533859422144,0.21596051566600544,0.22080205253988364,0.22581077790799078,0.2308195032760979,0.23582822864420505,0.25382636566891087,0.2720802288730581,0.2827904333907159,0.28908456918393716,0.2953787049771584,0.30167284077037965,0.31031055509996835,0.31954431857516796,0.3287780820503675,0.34166691661716997,0.3625740466881307,0.38348117675909144,0.40438830683005217,0.4252954369010128,0.44798288215541715,0.4729334971343141,0.49788411211321104,0.522834727092108,0.551564104635989,0.5813164232559354,0.6110687418758817,0.6408210604958279,0.6705733791157741,0.6984751086818531,0.726000332209438,0.7535255557370231,0.7810507792646081,0.808576002792193,0.8273077024899911,0.8456818492535523,0.8640559960171136,0.8824301427806748,0.900804289544236
20,0.0,0.026963428514923903,0.04672482799237809,0.05568745734808981,0.0729457918201629,0.09197612917592514,0.09479448571067302,0.0976128422454209,0.10061984215930928,0.12013830100765582,0.13965675985600237,0.15917521870434892,0.18847791349986825,0.22363531466506922,0.2587927158302703,0.29395011699547124,0.3291075181606723,0.3924974598539969,0.4721967435709523,0.5518960272879079,0.6152161950665275,0.6557376734303214,0.6962591517941151,0.7367806301579091,0.777302108521703,0.8102720161477831,0.8362148951104771,0.8621577740731712,0.8881006530358653,0.9140435319985594,0.928107167787515,0.9316587000513878,0.9352102323152608,0.9387617645791337,0.9423132968430066,0.9447396358546121,0.9467734338284257,0.9488072318022395,0.9508410297760531,0.9528748277498669,0.9549086257236805,0.9569424236974942,0.9589762216713079,0.9612859111483089,0.9638958213703364,0.9665057315923639,0.9691156418143915,0.971725552036419,0.9743354622584465,0.976945372480474
21,0.0,0.07803737278414763,0.14202446836012392,0.1870023653603385,0.23227855832448377,0.2776476631462468,0.32301676796800977,0.36944702400572244,0.41683736923881815,0.4642277144719138,0.5093968686293298,0.5456812584840248,0.5819656483387199,0.6182500381934148,0.6396821144341867,0.6605355291055842,0.6813889437769819,0.6978640909122179,0.7118496349386553,0.7258351789650926,0.7381689566338816,0.7480250847661973,0.757881212898513,0.7669109145078079,0.7716813409599944,0.7764517674121808,0.7812221938643672,0.7840268010132737,0.7864499805361704,0.788873160059067,0.790800809674669,0.7923981060187409,0.793995402362813,0.7952854375637105,0.7960351169610943,0.7967847963584781,0.7975352907721567,0.7983067039374047,0.7990781171026525,0.7998495302679004,0.7999602368900885,0.7999057668765117,0.7998512968629349,0.7997968268493582,0.7997423568357817,0.799687886822205,0.7996334168086285,0.7995789467950517,0.7995244767814749,0.799470006767898
22,0.0,0.031031825473781725,0.06247371853545723,0.09460078780318586,0.13110190030781535,0.1690702550746943,0.20703860984157327,0.2537273661887154,0.3092195759032098,0.3647117856177042,0.4174253127469806,0.46164248358783055,0.5058596544286806,0.5500768252695305,0.579846182078787,0.608322446902164,0.636798711725541,0.6594336927188107,0.6791480317970265,0.6988623708752425,0.7152396551313306,0.7269222236994306,0.7386047922675306,0.7499274718565484,0.7594195621815419,0.7689116525065355,0.7784037428315289,0.7824845557454543,0.7860504547299327,0.7896163537144112,0.7923782961698926,0.7945687776061829,0.7967592590424731,0.7987063543164568,0.800166677265827,0.8016270002151973,0.803025946666557,0.8037391277001569,0.8044523087337567,0.8051654897673567,0.8059048840390411,0.8066528511921918,0.8074008183453424,0.8081384621435992,0.8088686236182843,0.8095987850929695,0.81008902,0.81008902,0.81008902,0.81008902
23,0.0,0.020809578482405673,0.04186519708353922,0.0633319206945931,0.0876859532179001,0.11264725912560407,0.13760856503330807,0.17521952411237277,0.22560060924777198,0.27598169438317116,0.3249232210146647,0.3694630206452305,0.4140028202757964,0.4585426199063621,0.4885653161780302,0.5185188833874458,0.5484724505968614,0.574033733645347,0.5973988746133675,0.620764015581388,0.6412582547184543,0.6577135825076287,0.674168910296803,0.6888368940534524,0.6978975239375753,0.7069581538216982,0.7160187837058212,0.7223889976144608,0.7282302828623352,0.7340715681102093,0.7386324769814978,0.7422832804884362,0.7459340839953744,0.7493415004417202,0.7522621427668809,0.7551827850920414,0.757980674390344,0.7594070348854168,0.7608333953804897,0.7622597558755624,0.7631614917922406,0.7638916523735307,0.7646218129548209,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163
24,0.0,0.03395247012312713,0.06667474080374408,0.09734148835816508,0.13448995069930486,0.17300168001147168,0.21151340932363852,0.26249857832489937,0.3260759816766204,0.3896533850283414,0.44686115116438246,0.4907703576614087,0.534679564158435,0.5785887706554611,0.6075972666606448,0.6352721362819563,0.6629470059032679,0.6822348568062863,0.698638000611239,0.7150411444161918,0.730089712688132,0.743232604342059,0.7563754959959859,0.7681792635474326,0.7731715248491442,0.7781637861508558,0.7831560474525674,0.7864765822647791,0.7894684600732729,0.7924603378817666,0.7953601037975545,0.7982128244984715,0.8010655451993887,0.802967359,0.802967359,0.802967359,0.8029742799356178,0.8044346014057782,0.8058949228759387,0.8073552443460991,0.807715134,0.807715134,0.807715134,0.807715134,0.807715134,0.807715134,0.807715134,0.807715134,0.807715134,0.807715134
25,0.0,0.03103182780970474,0.06302047736031849,0.09660786704047773,0.1236341927479258,0.14845965520518137,0.17328511766243695,0.2101011328575628,0.25902189652867064,0.30794266019977845,0.35851640518380035,0.4141444584556356,0.4697725117274708,0.525400564999306,0.5654898158134258,0.6041883304648147,0.6428868451162036,0.6689292418457748,0.6886435796144372,0.7083579173830996,0.721701516853446,0.7260824806355616,0.7304634444176772,0.7349643714410266,0.740075496104676,0.7451866207683256,0.7502977454319751,0.7534087143029143,0.7563293569268515,0.7592499995507886,0.7607094623996734,0.7614226424997959,0.7621358225999184,0.76285466286043,0.7635848234417202,0.7643149840230103,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163,0.764985163
26,0.0,0.1027412732161498,0.20237316997651905,0.29710098011363434,0.39182879025074957,0.4865566003878648,0.5364240789062238,0.5779966911389508,0.6195693033716778,0.6606209647278554,0.6999747499059856,0.739328535084116,0.7786823202622465,0.8032762733736655,0.8217372368028526,0.8401982002320396,0.8581922535239767,0.8741159956171307,0.8900397377102848,0.9059634798034388,0.9154621018803604,0.9216847532680266,0.9279074046556927,0.9341300560433589,0.9403527074310251,0.9465753588186913,0.9527980102063575,0.9549219832584028,0.9559187096240039,0.956915435989605,0.9579121623552062,0.9589088887208073,0.9599056150864084,0.9609023414520095,0.962137311888227,0.9634520056961183,0.9647666995040095,0.9660813933119008,0.967396087119792,0.9687107809276833,0.9700254747355744,0.9713485004452093,0.972674862475601,0.9740012245059927,0.9753275865363844,0.9766539485667761,0.9779803105971678,0.9793066726275595,0.9806330346579513,0.981959396688343
