Formulation Index,Drug Group,Drug,Drug SMILES,Formulation Method,DOI,Drug MW,Drug TPSA,Drug LogP,Polymer MW,LA/GA,Initial Drug-to-Polymer Ratio,Particle Size,Drug Loading Capacity,Drug Encapsulation Efficiency,Solubility Enhancer Concentration,AUC,AUC Class,Profile Duration,N Time Points,Max Observed Release,Release_24h,Release_48h,Release_72h,Fold
147,73,tacrolimus,O=C1OC(C(=CC2CCC(O)C(OC)C2)C)C(C)C(O)CC(=O)C(C=C(C)CC(C)CC(OC)C3OC(O)(C(=O)C(=O)N4CCCCC14)C(C)CC3OC)CC=C,O/W,10.1016/j.ijpharm.2015.07.004,804.0309999999998,178.36,4.639000000000004,13.6,3.0,0.43,16.1,29.5,98.3,1.0,0.39077442312729704,AUC <= 0.5,9.97421731123388,5,0.902145702171399,0.011531813317968572,0.05424096732453118,0.09999597325482361,1
148,61,progesterone,O=C1C=C2CCC3C(CCC4(C)C(C(=O)C)CCC34)C2(C)CC1,S/O/W,10.3109/02652048.2015.1065914 ,314.4690000000001,34.14,4.723500000000005,8.65,1.0,0.25,22.1,19.6,78.3,1.0,0.7062078815823492,AUC > 0.5,16.7765331121106,17,0.992523364485981,0.22198762935648803,0.3513697135602631,0.4552034304371785,3
149,4,fluorofenidone ,CC1=CN(C(=O)C=C1)C2=CC(=CC=C2)F,O/W,10.1039/c5ra00656b ,203.216,22.0,2.28502,18.0,1.0,0.3,18.1,8.2,80.2,0.0,0.5380171097049118,AUC > 0.5,7.5,14,0.694143167028199,0.33508183790179535,0.4502636346649118,0.5426725444918709,2
150,7,rifapentine,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,O/W,10.2147/DDDT.S78407,877.0449999999994,220.15,5.648220000000007,45.0,1.0,0.1,16.737,8.04,88.49,0.0,0.4785325447523322,AUC <= 0.5,29.8488975187656,31,0.723579545454545,0.05180686533383655,0.09087342468292216,0.11174206499492359,1
151,7,rifapentine,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,O/W,10.2147/DDDT.S78407,877.0449999999994,220.15,5.648220000000007,45.0,1.0,0.25,25.267,17.16,85.78,0.0,0.5299427191215649,AUC > 0.5,29.9929628857381,31,0.805397727272727,0.07878035008469828,0.1321656355604722,0.1648710864689573,1
152,7,rifapentine,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,O/W,10.2147/DDDT.S78407,877.0449999999994,220.15,5.648220000000007,45.0,1.0,0.5,27.833,23.93,71.8,0.0,0.53352970844911,AUC > 0.5,29.8537844036697,31,0.784943181818182,0.1007666290868095,0.15781164948868662,0.1879338815524597,1
153,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,O/W,10.1016/j.actbio.2014.06.038 ,392.4670000000002,94.83,1.8957,9.5,3.0,0.2,11.34,11.4,68.4,0.0,0.6542023616389108,AUC > 0.5,28.2723950253727,7,0.702626666316093,0.3899131700722734,0.5108986115227931,0.5752624854408068,0
154,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1428571428571428,113.9,10.93,66.57,0.0,0.6797692735328792,AUC > 0.5,11.114602876798,13,0.977642276422764,0.44510896801718036,0.5040911783888196,0.5419025322058377,0
155,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.125,69.07,10.46,64.28,0.0,0.6398676614833938,AUC > 0.5,11.0560506566604,13,0.955284552845528,0.41855119703270977,0.46887411025666414,0.5193799515004913,0
156,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1111111111111111,53.74,8.14,63.16,0.0,0.616045902912901,AUC > 0.5,11.1131175734834,14,0.939024390243902,0.4144936179547313,0.452683282298157,0.5021395687814335,0
157,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,43.49,6.55,42.83,0.0,0.6017364941369531,AUC > 0.5,11.0741869918699,15,0.926829268292682,0.37388316213854345,0.4320272951377299,0.47631175769442297,0
158,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,40.51,7.69,53.92,0.0,0.6796698651140884,AUC > 0.5,11.0772239263803,14,0.926380368098159,0.48792206622974005,0.5361513188496906,0.5781475725929647,0
159,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,37.47,6.01,45.2,0.0,0.7183806144312984,AUC > 0.5,11.07745398773,17,0.930470347648261,0.5240109837907752,0.5644120332857451,0.6227615628992406,0
160,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,35.48,5.12,37.96,0.0,0.7356871967156186,AUC > 0.5,11.0968941717791,15,0.942740286298568,0.5587198845327905,0.573296628972243,0.6128687553557222,0
161,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,41.73,8.14,65.27,0.0,0.7798439155317015,AUC > 0.5,10.9223087725194,15,0.98569319586639,0.5135262438336916,0.5732856761117754,0.6837292007043603,0
162,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,39.85,7.81,52.73,0.0,0.7999855018808857,AUC > 0.5,10.9397001812355,15,0.985690195278274,0.5478019339641639,0.6834569540020076,0.6951138998586188,0
163,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,36.52,7.23,51.89,0.0,0.8217066474894794,AUC > 0.5,10.9570195758368,16,0.987931634600381,0.502218646466683,0.6553279202063065,0.7520345994403274,0
164,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,35.79,7.55,56.98,0.0,0.7218266838769618,AUC > 0.5,11.0452154308617,14,0.985971943887775,0.36586324660328,0.5145791686771904,0.5619406021155418,0
165,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,35.86,6.87,53.42,0.0,0.7926341650364768,AUC > 0.5,11.011329477136,14,0.997995991983967,0.45960251672825275,0.6529511634874672,0.6836942377631703,0
166,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,36.31,6.59,51.97,0.0,0.8160241633360544,AUC > 0.5,10.9942157041355,15,0.993987975951903,0.5071052228853763,0.6129183883168275,0.712059573881266,0
167,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,50.56,8.39,63.92,0.0,0.6356741143630352,AUC > 0.5,11.0905575748201,14,0.935437039953318,0.4713371779265836,0.5005879148082566,0.529632500985509,0
168,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,46.54,6.67,50.84,0.0,0.6349001644347838,AUC > 0.5,11.0157268298169,14,0.955540245077017,0.406175445218613,0.4649170933255167,0.5554907003211702,0
169,65,β-methasone ,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.3109/10837450.2011.635152 ,392.4670000000002,94.83,1.8957,20.0,3.0,0.1,37.94,4.58,34.77,0.0,0.7229897042309856,AUC > 0.5,11.016739196153,15,0.98232577105054,0.5158469213361982,0.5406263181830436,0.5983364098783652,0
170,25,apomorphine hydrochloride ,Cl.OC1=CC=C2C(=C1O)C=3C=CC=C4C3C(N(C)CC4)C2,S/O/W,10.1016/j.jconrel.2012.12.024 ,303.7890000000002,43.7,3.271700000000002,10.32,1.0,0.25,33.0,10.9,54.0,0.0,0.5710948890327161,AUC > 0.5,7.00531288865888,9,0.693033563433303,0.528859893476639,0.5117486167751979,0.5682659225444208,0
171,25,apomorphine hydrochloride ,Cl.OC1=CC=C2C(=C1O)C=3C=CC=C4C3C(N(C)CC4)C2,S/O/W,10.1016/j.jconrel.2012.12.024 ,303.7890000000002,43.7,3.271700000000002,9.5,1.0,0.25,38.0,6.0,30.0,0.0,0.517134119133463,AUC > 0.5,7.03705249451182,9,0.674590786541238,0.35290948025349894,0.4677288853861251,0.5276456688003757,0
172,25,apomorphine hydrochloride ,Cl.OC1=CC=C2C(=C1O)C=3C=CC=C4C3C(N(C)CC4)C2,S/O/W,10.1016/j.jconrel.2012.12.024 ,303.7890000000002,43.7,3.271700000000002,18.79,1.0,0.25,34.0,6.5,32.0,0.0,0.5018222336695216,AUC > 0.5,11.9870537465672,12,0.632780481290118,0.41996789658464195,0.3841770743974646,0.3837396011994426,0
173,17,clonidine hydrochloride,Cl.ClC1=CC=CC(Cl)=C1NC2=NCCN2,W/O/W,10.3109/02652048.2013.778905 ,266.559,36.42,2.786300000000001,61.5,1.0,0.01,38.0,0.02217821782178218,2.24,0.0,0.618452585345918,AUC > 0.5,35.1116244558052,13,0.975458708436489,0.16782875474325976,0.20944331051794884,0.25047312184816456,2
174,17,clonidine hydrochloride,Cl.ClC1=CC=CC(Cl)=C1NC2=NCCN2,W/O/W,10.3109/02652048.2013.778905 ,266.559,36.42,2.786300000000001,61.5,1.0,0.06666666666666667,32.0,0.081875,1.31,0.0,0.6211122625287564,AUC > 0.5,35.0179737345746,12,1.0017697585012,0.1734212344434705,0.21038068480046906,0.2473401351574676,2
175,17,clonidine hydrochloride,Cl.ClC1=CC=CC(Cl)=C1NC2=NCCN2,W/O/W,10.3109/02652048.2013.778905 ,266.559,36.42,2.786300000000001,61.5,1.0,0.01,17.2,0.2396039603960396,24.2,0.0,0.8120614771495194,AUC > 0.5,35.1604188828669,12,1.00380125876174,0.33193719760933665,0.40855124373950935,0.4790271242964159,2
176,17,clonidine hydrochloride,Cl.ClC1=CC=CC(Cl)=C1NC2=NCCN2,W/O/W,10.3109/02652048.2013.778905 ,266.559,36.42,2.786300000000001,61.5,1.0,0.06666666666666667,26.0,0.475,7.6,0.0,0.8412221287889575,AUC > 0.5,35.1128731320883,13,1.00177456110229,0.28143489227630747,0.35969410121083156,0.4312745467641207,2
177,6,rifampicin,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C)C,O/W,10.1016/j.ijpharm.2012.07.036 ,822.9529999999996,220.15,4.335420000000004,10.5,1.0,1.0,2.7,34.2,68.5,0.0,0.4883921700984532,AUC <= 0.5,5.98997493734635,13,0.708830265318468,0.29124104233044495,0.3955371882363692,0.5527595119262444,2
178,13,rhodamine-B ,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],O/W,10.1021/ja306866w,479.0200000000002,56.69,2.565,43.0,1.0,0.001,2.1,0.03996003996003997,40.0,0.0,0.8077110975893815,AUC > 0.5,17.9565898809575,14,0.929373355677308,0.39393724504502514,0.5348667409662246,0.6456291131802809,4
179,13,rhodamine-B ,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],O/W,10.1021/ja306866w,479.0200000000002,56.69,2.565,103.0,1.0,0.005,3.5,0.02786069651741294,5.6,0.0,0.5998625987298135,AUC > 0.5,30.1068913480885,19,0.723809523809523,0.23327235318906264,0.3533326593199206,0.42300946988845045,4
180,13,rhodamine-B ,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],O/W,10.1021/ja306866w,479.0200000000002,56.69,2.565,43.0,1.0,0.0005,2.1,0.02998500749625188,60.0,0.0,0.7774077917740235,AUC > 0.5,30.1207243460764,19,0.83047619047619,0.34534337694374656,0.5625249988987265,0.6984078516902946,4
