time setting,target,representation,fold,n valid,n dropped (no interpolation support),RMSE,MAE,Pearson_r,R2
(b) time-independent,Release_24h,fuzzy (quantile),0,65,0,0.22678104396372495,0.1833032276138615,0.31803789378699837,-0.004098563427685775
(b) time-independent,Release_24h,fuzzy (quantile),1,64,0,0.18500250101301588,0.1505337212294216,0.3971305172295179,-0.21566631088131905
(b) time-independent,Release_24h,fuzzy (quantile),2,64,0,0.21765016620647457,0.16953438918575414,0.3280757255531004,0.05498506254270574
(b) time-independent,Release_24h,fuzzy (quantile),3,64,0,0.1264081374455305,0.10593182855328347,0.569895381247354,0.264908430095091
(b) time-independent,Release_24h,fuzzy (quantile),4,64,0,0.16672727990353406,0.1304413993465643,0.11462578852866624,-0.30087904948268585
(b) time-independent,Release_48h,fuzzy (quantile),0,65,0,0.24803324421224784,0.20629290951979667,0.3872326457512569,0.041242586156142735
(b) time-independent,Release_48h,fuzzy (quantile),1,64,0,0.2074856868230162,0.1725808696264401,0.5449404758407379,-0.03781648322399889
(b) time-independent,Release_48h,fuzzy (quantile),2,64,0,0.23066419739153823,0.1877683487297292,0.4677235460698774,0.1440227147641845
(b) time-independent,Release_48h,fuzzy (quantile),3,64,0,0.17244434528744584,0.14171125974620535,0.43120904238757646,0.12595915739577634
(b) time-independent,Release_48h,fuzzy (quantile),4,64,0,0.20230898050593626,0.15641701694414653,0.13340463367830044,-0.4901332821092408
(b) time-independent,Release_72h,fuzzy (quantile),0,65,0,0.2673624185269416,0.22666807265788766,0.32737981903817676,-0.03652295940800543
(b) time-independent,Release_72h,fuzzy (quantile),1,64,0,0.22467816247757874,0.19311251463039086,0.5700766385436838,0.03772137377575968
(b) time-independent,Release_72h,fuzzy (quantile),2,64,0,0.2341408283753343,0.19190641959789334,0.51354664709009,0.20185268460593186
(b) time-independent,Release_72h,fuzzy (quantile),3,64,0,0.190738401767646,0.15853501691859917,0.47401059712636934,0.19410963605815146
(b) time-independent,Release_72h,fuzzy (quantile),4,64,0,0.22365125297837576,0.17255070349565527,0.13782521443118068,-0.4093687911646313
(a) time-dependent,Release (pointwise),fuzzy (uniform),0,1058,0,0.30673629278742637,0.24530662527139988,0.5430195138214311,0.1592291096970886
(a) time-dependent,Release (pointwise),fuzzy (uniform),1,1035,0,0.21065365416989554,0.1656929557629605,0.8105328217705823,0.6144760838787273
(a) time-dependent,Release (pointwise),fuzzy (uniform),2,1071,0,0.2121290490822455,0.16641223071531971,0.7368348124176212,0.5123309376866447
(a) time-dependent,Release (pointwise),fuzzy (uniform),3,973,0,0.19603348614305366,0.15811863148265465,0.8122585223852409,0.6509897164757958
(a) time-dependent,Release (pointwise),fuzzy (uniform),4,772,0,0.2216384849386556,0.16426402606089668,0.7627479955940073,0.5215706322139626
(b) time-independent,Release_24h,fuzzy (uniform),0,65,0,0.24397184289186735,0.18828216119912014,0.2654221787065192,-0.16209667563420704
(b) time-independent,Release_24h,fuzzy (uniform),1,64,0,0.18373488739540914,0.15180353713982497,0.40233748155562327,-0.19906420215057063
(b) time-independent,Release_24h,fuzzy (uniform),2,64,0,0.23300679924679835,0.18397247272880204,0.14818476381174034,-0.0830733138229236
(b) time-independent,Release_24h,fuzzy (uniform),3,64,0,0.1483409078799578,0.11231533868569961,0.37143761950048826,-0.01230933803417722
(b) time-independent,Release_24h,fuzzy (uniform),4,64,0,0.18512828592217762,0.14963480143746014,0.07691604647329969,-0.6038699475888456
(b) time-independent,Release_48h,fuzzy (uniform),0,65,0,0.2588191398290739,0.20763089203257556,0.3820046467638408,-0.04395487521692587
(b) time-independent,Release_48h,fuzzy (uniform),1,64,0,0.2064278763002486,0.17459513995667653,0.562168942537288,-0.027261396178720476
(b) time-independent,Release_48h,fuzzy (uniform),2,64,0,0.25111567080854935,0.20455444958141805,0.2426196690170987,-0.01449401690706309
(b) time-independent,Release_48h,fuzzy (uniform),3,64,0,0.17065163550859966,0.13736447192007883,0.4548562777236931,0.1440375340105885
(b) time-independent,Release_48h,fuzzy (uniform),4,64,0,0.21973193199377775,0.1809513566201588,0.02906673275267399,-0.7578472755618213
(b) time-independent,Release_72h,fuzzy (uniform),0,65,0,0.27529982339479153,0.2302501537947329,0.3755567826730058,-0.0989807104074778
(b) time-independent,Release_72h,fuzzy (uniform),1,64,0,0.220404127296924,0.18763668816653362,0.610770848689937,0.07398385517891026
(b) time-independent,Release_72h,fuzzy (uniform),2,64,0,0.25394750176104497,0.20632290445107895,0.3061289679784337,0.06110582278774401
(b) time-independent,Release_72h,fuzzy (uniform),3,64,0,0.21229666123998342,0.17926616026624342,0.40119197538502194,0.0016426660160210327
(b) time-independent,Release_72h,fuzzy (uniform),4,64,0,0.24886487759469464,0.202312297148188,0.018397656187197478,-0.7450553102920103
(a) time-dependent,Release (pointwise),hybrid (quantile),0,1058,0,0.2998727452336624,0.237143505762707,0.5553681861681647,0.19643441406810525
(a) time-dependent,Release (pointwise),hybrid (quantile),1,1035,0,0.22560313869339133,0.17876316878015458,0.7840322022019978,0.5578154079912268
(a) time-dependent,Release (pointwise),hybrid (quantile),2,1071,0,0.2121640983833492,0.16745524269189024,0.7420358646184819,0.5121697728491083
(a) time-dependent,Release (pointwise),hybrid (quantile),3,973,0,0.20380805207910258,0.1693057895901172,0.792611465814173,0.6227577091640615
(a) time-dependent,Release (pointwise),hybrid (quantile),4,772,0,0.22016605419610297,0.16372033514162274,0.7607532751145012,0.5279063020143714
(b) time-independent,Release_24h,hybrid (quantile),0,65,0,0.2253604230742186,0.18258770252068665,0.33342563164460554,0.008441951829962546
(b) time-independent,Release_24h,hybrid (quantile),1,64,0,0.18041580032733193,0.15458372498744816,0.39440046361307324,-0.1561343925817631
(b) time-independent,Release_24h,hybrid (quantile),2,64,0,0.2233050563160348,0.17431374158946866,0.2591439750204716,0.005241220300093441
(b) time-independent,Release_24h,hybrid (quantile),3,64,0,0.14119895821485512,0.1119680639352689,0.4635743332791988,0.08282045063235366
(b) time-independent,Release_24h,hybrid (quantile),4,64,0,0.18580482436510673,0.14522415349826828,0.06305060782940586,-0.615613829359122
(b) time-independent,Release_48h,hybrid (quantile),0,65,0,0.2539279608801489,0.21043556017613524,0.363140805627169,-0.004870271467485976
(b) time-independent,Release_48h,hybrid (quantile),1,64,0,0.21381922710900797,0.1833721369543588,0.5048664888266952,-0.10214260085447724
(b) time-independent,Release_48h,hybrid (quantile),2,64,0,0.2365476561809725,0.18873330584207626,0.4133391778879744,0.09979969170595038
(b) time-independent,Release_48h,hybrid (quantile),3,64,0,0.19004481388848826,0.16009344105874845,0.41721208046754704,-0.06156320479383037
(b) time-independent,Release_48h,hybrid (quantile),4,64,0,0.20241570608604662,0.16350276935731248,0.1378702511881278,-0.4917058992726713
(b) time-independent,Release_72h,hybrid (quantile),0,65,0,0.26939507725058776,0.22543093362742908,0.32881578383436144,-0.0523434807275418
(b) time-independent,Release_72h,hybrid (quantile),1,64,0,0.22312761553717467,0.19254851441093307,0.6333809939970172,0.05095728129769583
(b) time-independent,Release_72h,hybrid (quantile),2,64,0,0.2357644355190155,0.19374424872261786,0.5008951042816656,0.190745090031465
(b) time-independent,Release_72h,hybrid (quantile),3,64,0,0.21710057304705352,0.18251878206245284,0.36182709554711334,-0.04405078431044629
(b) time-independent,Release_72h,hybrid (quantile),4,64,0,0.22283895280594065,0.17709249648466935,0.15875596930512112,-0.3991497426444408
(a) time-dependent,Release (pointwise),hybrid (uniform),0,1058,0,0.3003393804195404,0.23542584819513412,0.5561144489003212,0.19393159424554685
(a) time-dependent,Release (pointwise),hybrid (uniform),1,1035,0,0.2160043266100165,0.17106786069663962,0.8023714698607078,0.5946424830140672
(a) time-dependent,Release (pointwise),hybrid (uniform),2,1071,0,0.21484789382091443,0.1691607448742553,0.7286746507743677,0.49974997872762195
(a) time-dependent,Release (pointwise),hybrid (uniform),3,973,0,0.19714805959950363,0.15985573639031334,0.8085440235900883,0.6470097490374163
(a) time-dependent,Release (pointwise),hybrid (uniform),4,772,0,0.22839614163219202,0.16607327901536195,0.7515621212895027,0.4919516902932527
(b) time-independent,Release_24h,hybrid (uniform),0,65,0,0.23792975840717298,0.18747922221365604,0.2645240542422597,-0.10524961570543723
(b) time-independent,Release_24h,hybrid (uniform),1,64,0,0.19384131141632743,0.15799297668176643,0.34358380115187304,-0.33460227541214405
(b) time-independent,Release_24h,hybrid (uniform),2,64,0,0.22736287938722238,0.1821627899413771,0.19737862885531177,-0.031240090450151525
(b) time-independent,Release_24h,hybrid (uniform),3,64,0,0.15760487730096787,0.12139105155963753,0.27940407540865053,-0.1426959393613949
(b) time-independent,Release_24h,hybrid (uniform),4,64,0,0.18663023165268336,0.1499900410843448,0.03950806366323749,-0.6299999083828012
(b) time-independent,Release_48h,hybrid (uniform),0,65,0,0.26644828218724365,0.21216549516501682,0.3203237412854342,-0.10640669998866792
(b) time-independent,Release_48h,hybrid (uniform),1,64,0,0.21617084088914737,0.18444850309263044,0.5115698883237945,-0.12651895211262887
(b) time-independent,Release_48h,hybrid (uniform),2,64,0,0.2532165607259564,0.20374122452964416,0.21042094678904172,-0.0315399932042324
(b) time-independent,Release_48h,hybrid (uniform),3,64,0,0.17940890437926796,0.1497026607397418,0.4446503806306433,0.05393320567947424
(b) time-independent,Release_48h,hybrid (uniform),4,64,0,0.228430804696375,0.18950653200883358,0.022969603157175632,-0.8997835856451537
(b) time-independent,Release_72h,hybrid (uniform),0,65,0,0.2715970676498233,0.22635465486790995,0.3352339129977706,-0.06961714937336172
(b) time-independent,Release_72h,hybrid (uniform),1,64,0,0.20924019217672227,0.17670979236812617,0.6465044807415927,0.1654173859865865
(b) time-independent,Release_72h,hybrid (uniform),2,64,0,0.24090969036315507,0.19642582507110667,0.4095268439939477,0.1550377725305433
(b) time-independent,Release_72h,hybrid (uniform),3,64,0,0.2047504237921071,0.16675261066928326,0.4334796896351906,0.07135590173701056
(b) time-independent,Release_72h,hybrid (uniform),4,64,0,0.24935534426283903,0.20439799160353284,0.02629797513859028,-0.7519404511280638
