fold,method,readable,n conditions,time only,train support,valid coverage,train effect,valid effect,valid effect CI low,valid effect CI high,enough coverage,same direction,CI excludes 0,validated,time window coverage,formulation effect in window,formulation CI low,formulation CI high,formulation part holds,raw rule
0,RuleFit,IF Log1p Time > 2.477,1,True,0.4222279927291613,0.4008,0.37942510512382566,0.2736032093239465,0.05555226237293196,0.3197921826789384,True,True,True,True,,,,,False,Log1p Time > 2.47723
0,RuleFit,IF Log1p Time > 2.826,1,True,0.29680602440924436,0.2996,0.36578109743743586,0.24960717287517065,-0.016449805641816907,0.3119504230340096,True,True,False,False,,,,,False,Log1p Time > 2.8256
0,RuleFit,IF Drug MW is not Medium AND Log1p Time > 1.59,2,False,0.15086990392105948,0.069,0.29401197858824973,0.03685701877481451,-0.05534352372820752,0.32394881772299317,True,True,False,False,0.6776937618147448,-0.09929784753131177,-0.25120499984765965,0.19761713834111322,False,Drug MW is Medium <= 0.211025 and Log1p Time > 1.58989
0,RuleFit,IF Log1p Time > 2.788,1,True,0.29966242534406645,0.3043,0.3654098532633649,0.24842198574739022,-0.015866985125065004,0.3095122525661031,True,True,False,False,,,,,False,Log1p Time > 2.788
0,RuleFit,IF Log1p Time > 2.476,1,True,0.4222279927291613,0.4017,0.37942510512382566,0.27422525343924153,0.06454545753281513,0.31866962925460607,True,True,True,True,,,,,False,Log1p Time > 2.47577
0,RuleFit,IF Log1p Time > 2.788,1,True,0.29966242534406645,0.3043,0.3654098532633649,0.24842198574739022,-0.010825845967210498,0.30977107379806595,True,True,False,False,,,,,False,Log1p Time > 2.78846
0,RuleFit,IF Log1p Time > 2.897,1,True,0.26798234224876655,0.2807,0.3634399859339599,0.2475169051819769,-0.013678423286325653,0.31473053297948644,True,True,False,False,,,,,False,Log1p Time > 2.89683
0,Surrogate tree (depth 3),IF Log1p Time ≤ 0.0556,1,True,0.06933264087250066,0.0681,-0.5545743280699335,-0.5629796200389714,-0.6689523987585793,-0.478124768714528,True,True,True,True,,,,,False,Log1p Time <= 0.0556038
0,Surrogate tree (depth 3),IF Log1p Time ≤ 0.803 AND Log1p Time > 0.0556,2,True,0.11841080238898988,0.1267,-0.3571171129578315,-0.2931043832670748,-0.33047271710992654,-0.08470864946241254,True,True,True,True,,,,,False,Log1p Time <= 0.803005 and Log1p Time > 0.0556038
0,Surrogate tree (depth 3),IF Log1p Time ≤ 1.787 AND Log1p Time > 0.803 AND Drug Encapsulation Efficiency is not clearly High,3,False,0.121267203323812,0.1021,-0.08695830123093373,0.027440772912561195,-0.07250294726276255,0.21814403455972034,True,False,False,False,0.16824196597353497,0.2969359470779965,-0.11974250216715672,0.4194550967610315,False,Log1p Time <= 1.78675 and Log1p Time > 0.803005 and Drug Encapsulation Efficiency is High <= 0.57078
0,Surrogate tree (depth 3),IF Log1p Time ≤ 1.787 AND Log1p Time > 0.803 AND Drug Encapsulation Efficiency is mostly High,3,False,0.05297325370033758,0.0662,-0.30344993507903323,-0.29158856046719356,-0.3620858714869836,0.09336988607267198,True,True,False,False,0.16824196597353497,-0.2969359470779965,-0.4576816346052387,0.12332750525279744,False,Log1p Time <= 1.78675 and Log1p Time > 0.803005 and Drug Encapsulation Efficiency is High > 0.57078
0,Surrogate tree (depth 3),IF Log1p Time > 1.787 AND Log1p Time ≤ 2.826 AND Drug MW is not clearly Low,3,False,0.2503245910153207,0.31,0.009537226374779162,0.11996334234487893,-0.19506353675781674,0.24679078299109325,True,True,False,False,0.33742911153119093,-0.12102471514657642,-0.4371973196922193,0.04092095720328049,False,Log1p Time > 1.78675 and Log1p Time <= 2.8256 and Drug MW is Low <= 0.760087
0,Surrogate tree (depth 3),IF Log1p Time > 1.787 AND Log1p Time ≤ 2.826 AND Drug MW is mostly Low,3,False,0.09088548428979486,0.0274,0.2350423139525849,0.20954070800470315,,,False,True,False,False,0.33742911153119093,0.12102471514657642,-0.035341719528497934,0.39274728142166737,False,Log1p Time > 1.78675 and Log1p Time <= 2.8256 and Drug MW is Low > 0.760087
0,Surrogate tree (depth 3),IF Log1p Time > 2.826 AND Drug MW is not clearly Low,2,False,0.25188262788886,0.2713,0.3095821453113991,0.2922180599747072,0.11416922410724616,0.3644936838154085,True,True,True,True,0.2996219281663516,0.40290369556960665,0.2490261517153468,0.4856108500391099,True,Log1p Time > 2.8256 and Drug MW is Low <= 0.798571
0,Surrogate tree (depth 3),IF Log1p Time > 2.826 AND Drug MW is mostly Low,2,False,0.044923396520384316,0.0284,0.41966885014437016,-0.19549804053710568,,,False,False,False,False,0.2996219281663516,-0.40290369556960665,-0.5039182112533868,-0.2476231350758504,True,Log1p Time > 2.8256 and Drug MW is Low > 0.798571
1,RuleFit,IF Log1p Time ≤ 0.04045,1,True,0.06866288074341766,0.0628,-0.5638032720973248,-0.537700757889425,-0.6366121427137491,-0.4871305156846349,True,True,True,True,,,,,False,Log1p Time <= 0.0404544
1,RuleFit,IF Log1p Time ≤ 0.02972,1,True,0.06763035622096025,0.0618,-0.5658534093123216,-0.5392629513114952,-0.6390894984981407,-0.4887796244649725,True,True,True,True,,,,,False,Log1p Time <= 0.0297229
1,RuleFit,IF Log1p Time ≤ 0.2171,1,True,0.09576664945792462,0.0667,-0.5291743581990654,-0.5209536865500339,-0.6100643469267246,-0.47477942480662044,True,True,True,True,,,,,False,Log1p Time <= 0.21707
1,RuleFit,IF Log1p Time ≤ 0.02753,1,True,0.06763035622096025,0.0618,-0.5658534093123216,-0.5392629513114952,-0.6388804708367425,-0.489028022927848,True,True,True,True,,,,,False,Log1p Time <= 0.0275263
1,RuleFit,IF Log1p Time ≤ 0.2157,1,True,0.09576664945792462,0.0667,-0.5291743581990654,-0.5209536865500339,-0.6118822469837415,-0.4754253301914124,True,True,True,True,,,,,False,Log1p Time <= 0.215677
1,RuleFit,IF Log1p Time ≤ 0.09352,1,True,0.07356737222509034,0.0638,-0.5582239829985469,-0.5332630688338508,-0.6286847203126537,-0.4828894806295834,True,True,True,True,,,,,False,Log1p Time <= 0.0935193
1,RuleFit,IF Log1p Time ≤ 0.05323,1,True,0.07046979865771812,0.0628,-0.5618485445042769,-0.537700757889425,-0.6348000186507926,-0.48690327473450956,True,True,True,True,,,,,False,Log1p Time <= 0.0532257
1,RuleFit,IF Drug MW is not clearly Medium AND Log1p Time ≤ 1.374,2,False,0.2537429013939081,0.199,-0.44939861095403555,-0.441678787024862,-0.5115439397759673,-0.3842302863284492,True,True,True,True,,,,,False,Drug MW is Medium <= 0.940302 and Log1p Time <= 1.37394
1,RuleFit,IF Log1p Time ≤ 0.3827,1,True,0.12364481156427465,0.0725,-0.5096958109564135,-0.5171302385014854,-0.6085590352847456,-0.4702932567466866,True,True,True,True,,,,,False,Log1p Time <= 0.382683
1,RuleFit,IF Log1p Time ≤ 0.7967,1,True,0.20134228187919462,0.143,-0.47269505146706814,-0.4713134849756618,-0.5408012209368431,-0.42658157489764537,True,True,True,True,,,,,False,Log1p Time <= 0.796726
1,RuleFit,IF Log1p Time ≤ 1.463,1,True,0.32137325761486835,0.2367,-0.4293051170207257,-0.44323844284162944,-0.5017310360793084,-0.3934066722002057,True,True,True,True,,,,,False,Log1p Time <= 1.46296
1,RuleFit,IF Log1p Time ≤ 1.098,1,True,0.2284460505937016,0.1652,-0.46247385415931347,-0.4548165133408534,-0.5310279388638454,-0.40915521388494314,True,True,True,True,,,,,False,Log1p Time <= 1.09849
1,RuleFit,IF Log1p Time ≤ 0.3591,1,True,0.12106350025813113,0.0725,-0.5110105166171397,-0.5171302385014854,-0.6138510262477792,-0.4695491087571868,True,True,True,True,,,,,False,Log1p Time <= 0.359121
1,RuleFit,IF Log1p Time ≤ 1.456,1,True,0.3200826019617966,0.2367,-0.42922860026338056,-0.44323844284162944,-0.502888269527096,-0.3935618996201464,True,True,True,True,,,,,False,Log1p Time <= 1.45591
1,RuleFit,IF Log1p Time ≤ 1.079,1,True,0.21915332989158492,0.1536,-0.4654965573882257,-0.46788535418095156,-0.5354299239163954,-0.42076545486947814,True,True,True,True,,,,,False,Log1p Time <= 1.07902
1,RuleFit,IF Log1p Time ≤ 1.463,1,True,0.32137325761486835,0.2367,-0.4293051170207257,-0.44323844284162944,-0.5046565707638865,-0.3932441849620504,True,True,True,True,,,,,False,Log1p Time <= 1.46273
1,RuleFit,IF Log1p Time ≤ 0.6724,1,True,0.1525554981930821,0.1053,-0.48940524576687783,-0.49206821453320854,-0.561912131221901,-0.4491184010986812,True,True,True,True,,,,,False,Log1p Time <= 0.67241
1,RuleFit,IF Drug Encapsulation Efficiency is mostly High AND Log1p Time ≤ 1.946,2,False,0.12157976251935984,0.1188,-0.38550366750917076,-0.4497251022517078,-0.49900900137069876,-0.3728057283923408,True,True,True,True,0.3294685990338164,-0.2050010796806626,-0.29940436698956513,-0.10137862108762068,True,Drug Encapsulation Efficiency is High > 0.607863 and Log1p Time <= 1.94643
