fold,knot strategy,feature,fuzzifiable,knot source,knots,valid High=1 share,valid Low=1 share
3,uniform,Drug Loading Capacity,True,uniform,"[0.0222, 30.9611, 61.9]",0.0,0.0
3,uniform,Drug Encapsulation Efficiency,True,uniform,"[1.31, 50.405, 99.5]",0.0156,0.0
3,uniform,Solubility Enhancer Concentration,True,uniform,"[0.0, 10.0, 20.0]",0.1875,0.5312
4,uniform,Drug MW,True,uniform,"[130.078, 809.4425, 1488.807]",0.0,0.0
4,uniform,Drug TPSA,True,uniform,"[6.48, 354.125, 701.77]",0.0,0.0
4,uniform,Drug LogP,True,uniform,"[-11.5452, -1.2158, 9.1135]",0.0,0.0
4,uniform,Polymer MW,True,uniform,"[2.3, 55.15, 108.0]",0.0469,0.0
4,uniform,LA/GA,True,uniform,"[1.0, 3.335, 5.67]",0.0469,0.9062
4,uniform,Initial Drug-to-Polymer Ratio,True,uniform,"[0.0005, 0.8597, 1.7189]",0.0,0.0
4,uniform,Particle Size,True,uniform,"[1.35, 145.025, 288.7]",0.0156,0.0312
4,uniform,Drug Loading Capacity,True,uniform,"[0.0279, 30.9639, 61.9]",0.0,0.0156
4,uniform,Drug Encapsulation Efficiency,True,uniform,"[4.1, 52.05, 100.0]",0.0,0.0312
4,uniform,Solubility Enhancer Concentration,True,uniform,"[0.0, 15.0, 30.0]",0.0,0.6719
