Formulation Index,held-out RMSE
247,0.2580519129316829
32,0.2592103458935456
39,0.2605401973565494
231,0.2610746034744088
253,0.2615107339933272
144,0.2620894615394599
191,0.26221207572256144
49,0.26283365306231704
33,0.2628808956752151
283,0.26420538248289965
190,0.2665553816134401
182,0.2685439292978447
244,0.27170803754095174
11,0.27241777001893436
202,0.2757080784014903
237,0.27648841599030194
19,0.2781845003235624
156,0.2821019851962072
254,0.28267101258082433
145,0.2836913386989961
242,0.28465833445807237
29,0.2856966021436528
197,0.28614084722361727
229,0.2876622364445905
245,0.2877528447866237
27,0.28944950694221
128,0.2902617407037787
243,0.2903817702945867
117,0.2907038747367908
301,0.29271196614904615
222,0.29309153762744444
192,0.29349479184474025
304,0.2947783507934027
167,0.29653291993401626
290,0.2976160087871483
246,0.3017181730406496
155,0.30743813384086827
308,0.30877587872926165
220,0.3088463134896304
234,0.3110760742027946
55,0.31107616768719504
158,0.31322016126471186
305,0.31893888482080457
160,0.3208238587454094
45,0.3209478246804123
248,0.32115711322137025
57,0.32181733378907584
169,0.3222633109873674
311,0.32449209186055555
106,0.3273877245677051
309,0.32761577468229774
13,0.3293004678517608
166,0.3347023287705245
159,0.33530718916515495
50,0.3354851500138289
221,0.3415148343715986
259,0.344321113332708
154,0.3510684214788339
31,0.35731350971197584
163,0.35983774244144023
313,0.3617928791324681
47,0.3635510028469537
165,0.36616355701454106
164,0.375736094546202
224,0.3764070498432105
196,0.37821353886779796
18,0.4072185273902923
108,0.413101354040593
109,0.4170033611358843
162,0.4256322511408515
184,0.44115905283800916
193,0.4505765276479081
59,0.46040630570312274
262,0.4608764846645203
299,0.4644038175654936
161,0.4677729661065446
271,0.4745393275229144
114,0.5001905345076703
194,0.5356386465133769
264,0.6610170773163202
1,0.6756879206777731
